a_i,p_a,f_a,lockdownrelief_percent,new_beta,new_f_a,nDet_T1,nDet_T1_lower_CI,nDet_T1_upper_CI,nTotal_T1,nTotal_T1_lower_CI,nTotal_T1_upper_CI,nSymp_T1,nSymp_T1_lower_CI,nSymp_T1_upper_CI,nDet_T2,nDet_T2_lower_CI,nDet_T2_upper_CI,nTotal_T2,nTotal_T2_lower_CI,nTotal_T2_upper_CI,nSymp_T2,nSymp_T2_lower_CI,nSymp_T2_upper_CI,nDet_T3,nDet_T3_lower_CI,nDet_T3_upper_CI,nTotal_T3,nTotal_T3_lower_CI,nTotal_T3_upper_CI,nSymp_T3,nSymp_T3_lower_CI,nSymp_T3_upper_CI,nDet_T4,nDet_T4_lower_CI,nDet_T4_upper_CI,nTotal_T4,nTotal_T4_lower_CI,nTotal_T4_upper_CI,nSymp_T4,nSymp_T4_lower_CI,nSymp_T4_upper_CI,nDet_T5,nDet_T5_lower_CI,nDet_T5_upper_CI,nTotal_T5,nTotal_T5_lower_CI,nTotal_T5_upper_CI,nSymp_T5,nSymp_T5_lower_CI,nSymp_T5_upper_CI,nDet_T6,nDet_T6_lower_CI,nDet_T6_upper_CI,nTotal_T6,nTotal_T6_lower_CI,nTotal_T6_upper_CI,nSymp_T6,nSymp_T6_lower_CI,nSymp_T6_upper_CI,nDet_T7,nDet_T7_lower_CI,nDet_T7_upper_CI,nTotal_T7,nTotal_T7_lower_CI,nTotal_T7_upper_CI,nSymp_T7,nSymp_T7_lower_CI,nSymp_T7_upper_CI
0.5,0.6,0.1,60.0,80.0,10.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,98489,91066,106375,442170,390592,503354,89618,82737,96913,3122743,1940664,4801665,16604817,9584133,27285150,2884951,1787656,4444273,104449623,48889674,184850785,457200015,222156168,753832184,96178524,44996976,169947758,480734641,378763290,544470230,1188041840,1051873303,1259328390,430572126,342495874,483838193,573368708,550277397,587710406,1264288731,1231503643,1286121176,501967059,483991976,513059839,584109818,572594664,592448127,1272512893,1250207516,1289186060,508521929,498982467,515492804,
0.5,0.8,0.1,80.0,80.0,10.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,109366,99844,118532,739196,655092,842088,86801,79001,94471,3215847,2013901,4901124,24851890,14960118,40006564,2629460,1624703,4019658,85240634,44323867,138248451,532581319,295322231,801625299,68847913,35739201,111189528,292623710,245313654,323869602,1168083850,1055522254,1234076851,220803033,188202660,240578650,341643875,327770402,351096973,1241710544,1206932642,1266133782,246999691,238733443,252614706,349328046,341635515,355140654,1251415476,1227140575,1270363638,250078049,244990555,253982052,
0.5,0.2,0.1,20.0,70.0,10.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,61251,56417,67332,150338,137822,164608,60100,55354,66069,871684,640519,1236763,2977092,1981586,4625314,858743,630609,1219020,21240386,10538734,41438264,72429473,32642358,148648730,20930325,10374919,40847065,316535337,148868353,550925102,731342264,400513081,1063962090,311497920,146580883,541810492,868080485,691548731,987205266,1200040884,1086980161,1266911049,850546063,678674683,965880805,1010597049,961487234,1044363296,1250755433,1212678740,1279683420,987072718,939894399,1019421852,
0.5,0.4,0.1,40.0,70.0,10.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,68875,64145,74633,201625,185773,218918,65655,61138,71128,982949,707534,1354362,3687127,2418016,5472582,945735,679645,1304261,21548907,10557982,39833343,80073491,36081834,154481409,20743576,10150611,38376835,279128512,131961258,457059169,729800156,393202938,1032747396,267642422,126700528,437462976,688150482,553122874,769437352,1181668927,1056200694,1248894918,651940452,526452217,726370939,782599699,743383905,807276784,1237829883,1195808291,1266867131,735621831,700271474,757825927,
0.5,0.6,0.1,60.0,70.0,10.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,76142,71024,82210,296400,268839,326278,68810,64135,74352,1252860,846083,1798840,5951131,3695509,9287748,1152461,776393,1658725,28975404,13325852,55295643,132914800,57418742,260184410,26660141,12227170,50934982,285918437,150609395,416297669,874442587,536047380,1118106715,259605153,137458153,375678994,521403049,448829702,562596940,1196175389,1097979444,1250785624,460787568,400437090,493979670,563752848,539697033,579553104,1235765692,1195132368,1264154983,491994715,472514523,504861173,
0.5,0.8,0.1,80.0,70.0,10.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,82046,75526,88406,486396,441142,535289,64042,58693,69093,1210041,823276,1730837,8434449,5499543,12784468,978557,659909,1408071,23426029,11508060,42430547,156597437,75093414,287110554,18930677,9178131,34364158,180518086,107351877,248635600,858183625,569877081,1071284371,140918642,84648008,190749594,306070624,267470809,330556401,1158296639,1062603539,1216826327,225565618,200531076,240677226,333166668,317483862,344008729,1203392646,1159237057,1235249954,239711357,229801401,246647620,
0.5,0.2,0.1,20.0,60.0,10.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,51773,47554,56873,106886,99089,115488,50744,46616,55758,379218,301467,499257,1094179,781656,1604647,373172,296495,491608,5160510,2841099,9416857,15557051,7722392,31004354,5081374,2796042,9276723,69640216,27541515,153520974,193412775,74551503,422044354,68557529,27089060,151161600,448929719,216087989,724660442,831921214,477518408,1122806302,441057709,212389424,711180857,858174707,669952931,979473348,1150542939,1007499406,1235182366,840004021,656963336,957372555,
0.5,0.4,0.1,40.0,60.0,10.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,56764,52499,61802,142341,132298,153012,53941,49887,58742,418802,325172,541164,1350181,959334,1876628,401743,311432,519901,5141713,2796102,8919131,17105430,8469654,31618635,4939199,2681640,8577959,61500588,24200636,127472537,190433848,71948880,391624921,59041285,23203565,122429937,361678747,169083615,563637513,796620231,435258370,1077892828,345308571,161839152,536506590,663594225,510271147,753250468,1121309360,957227638,1209603913,627313506,484770367,709497956,
0.5,0.6,0.1,60.0,60.0,10.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,60675,56504,65567,204306,189396,220066,54436,50666,58790,499496,367911,669899,2069312,1404271,2987514,456573,334518,614277,6476295,3274709,11777635,27376690,12740249,52805396,5933836,2988587,10814863,74802884,28665908,151827413,283490676,107317096,554218406,68346876,26145913,138593778,329975514,173990222,460127750,896496392,550566365,1121487072,296695877,157719053,410372947,497694781,409778707,546820522,1134495091,998923986,1209340720,438374890,364542691,478683419,
0.5,0.8,0.1,80.0,60.0,10.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,63935,59287,69060,332321,307371,357053,49032,45240,53002,459738,347002,606874,2822690,1990235,3957789,365846,272337,486166,4926002,2650361,8569740,30755281,15716369,56154407,3939723,2087833,6887357,46555840,20051185,89233024,265913898,113947921,493692395,36970873,15781145,70792609,185432834,104724123,256510473,819570724,514673971,1041212306,142179864,81709325,193425160,283453690,231930852,315706747,1072237064,929091022,1157775478,208197581,173740849,228965856,
