a_i,p_a,f_a,lockdownrelief_percent,new_beta,new_f_a,nDet_T1,nDet_T1_lower_CI,nDet_T1_upper_CI,nTotal_T1,nTotal_T1_lower_CI,nTotal_T1_upper_CI,nSymp_T1,nSymp_T1_lower_CI,nSymp_T1_upper_CI,nDet_T2,nDet_T2_lower_CI,nDet_T2_upper_CI,nTotal_T2,nTotal_T2_lower_CI,nTotal_T2_upper_CI,nSymp_T2,nSymp_T2_lower_CI,nSymp_T2_upper_CI,nDet_T3,nDet_T3_lower_CI,nDet_T3_upper_CI,nTotal_T3,nTotal_T3_lower_CI,nTotal_T3_upper_CI,nSymp_T3,nSymp_T3_lower_CI,nSymp_T3_upper_CI,nDet_T4,nDet_T4_lower_CI,nDet_T4_upper_CI,nTotal_T4,nTotal_T4_lower_CI,nTotal_T4_upper_CI,nSymp_T4,nSymp_T4_lower_CI,nSymp_T4_upper_CI,nDet_T5,nDet_T5_lower_CI,nDet_T5_upper_CI,nTotal_T5,nTotal_T5_lower_CI,nTotal_T5_upper_CI,nSymp_T5,nSymp_T5_lower_CI,nSymp_T5_upper_CI,nDet_T6,nDet_T6_lower_CI,nDet_T6_upper_CI,nTotal_T6,nTotal_T6_lower_CI,nTotal_T6_upper_CI,nSymp_T6,nSymp_T6_lower_CI,nSymp_T6_upper_CI,nDet_T7,nDet_T7_lower_CI,nDet_T7_upper_CI,nTotal_T7,nTotal_T7_lower_CI,nTotal_T7_upper_CI,nSymp_T7,nSymp_T7_lower_CI,nSymp_T7_upper_CI
0.5,0.2,0.1,20.0,90.0,20.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,91648,83593,100124,307427,271445,352162,89085,81176,97315,4299906,2783077,6789560,18464901,10815532,31769420,4176212,2702046,6562407,208347506,105582826,367453658,639459714,354192962,973535430,202041993,102454424,356124245,924194727,790499466,1020423331,1264356245,1207100477,1298699156,887593464,761318527,977369012,1075345692,1050450955,1092620832,1293372878,1276349235,1306944941,1025848179,1003081324,1041655905,1087233032,1074294308,1097962961,1295443845,1281315928,1307496672,1035694949,1023534028,1045794519,
0.5,0.4,0.1,40.0,90.0,20.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,108350,100442,116844,406203,360378,463190,100766,93440,108684,4860550,3079869,7410499,21768242,12583246,35718006,4512860,2854234,6891532,200920083,100887977,334384086,650626356,355705765,953283301,185684406,93281067,308584465,765017871,657438107,831838261,1249283791,1180826855,1286183839,688466789,595962784,744396018,864856994,843346422,879001687,1282864549,1262519301,1297599788,765801469,748537076,777158717,873502272,861469151,882702135,1285775025,1269412663,1298612793,771098536,760781807,779040875,
0.5,0.6,0.1,60.0,90.0,20.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,130926,119640,143200,611905,523876,715135,112116,102153,122889,6849551,4011896,11073022,36167688,19610436,61898027,5846949,3387207,9476149,238416996,126907155,365075117,818880876,498254205,1084517863,200254442,106508779,304283805,610598659,549185326,646760318,1252388706,1196283815,1284260881,483400398,440939542,507002320,659641527,644056146,670226457,1277275456,1255130238,1293249313,509676903,499255113,516831726,664931227,654560484,672702841,1279822808,1260993638,1294170324,511788252,504069241,517618228,
0.5,0.8,0.1,80.0,90.0,20.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,160199,143927,177123,1016608,874054,1189159,110347,98763,122415,7742385,4608992,12415471,52700835,29710034,87904087,5286808,3079921,8513038,194571774,116894208,273450864,862461496,587921330,1076512864,126909197,77024539,175341250,412989375,377042444,436522548,1225630314,1170431212,1260601718,239905674,223361128,249721106,447166427,434956239,455935610,1253401384,1228063499,1272728845,250181116,244549036,254320405,451852587,443560391,458394914,1256767749,1235115375,1274150289,251287512,246886424,254802116,
0.5,0.2,0.1,20.0,80.0,20.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,73915,68038,80982,210587,189596,235462,71826,66056,78697,1913852,1314262,2884452,7323096,4560051,12034471,1857197,1274792,2800961,71970544,34174038,141557967,249251955,113172249,483325504,69803908,33141129,137334012,676787051,453297946,878546571,1134355523,931532682,1253677682,652396655,438093164,844806236,1028309240,961344191,1070665943,1268206340,1232685764,1293297160,982777514,920563760,1021773100,1069552397,1046870595,1087185280,1277477268,1255788063,1295976665,1019220445,998054230,1035679409,
0.5,0.4,0.1,40.0,80.0,20.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,85257,79379,91771,276645,251872,307073,79201,73764,85181,2120637,1428726,3084905,8529037,5221824,13357039,1964165,1321366,2862279,69174701,32006471,128939047,252490295,113576874,464411198,63973902,29563060,119318778,568882937,376205829,720239062,1104758705,878741545,1229807453,517308278,344393253,650862420,825826827,769360349,859067802,1250773746,1207298020,1278503497,734563016,687908600,761524436,856004160,835306343,870978795,1263053254,1237866736,1282474257,756284955,738908209,768985573,
0.5,0.6,0.1,60.0,80.0,20.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,99139,91689,107062,406324,360038,460975,84668,78329,91459,2819763,1755053,4335571,13507853,7779187,22229774,2394591,1483461,3693052,89946872,40429369,166074256,369040434,167746319,647558371,75960469,34100928,139960335,497765563,361872823,588754332,1142209307,960767952,1237913569,402355603,297225218,469416847,633798503,597904215,655661890,1244506952,1202006401,1272549620,492859827,468962798,507286643,650592802,633840292,662745269,1254691194,1226506047,1275984375,501303035,489213189,510203523,
0.5,0.8,0.1,80.0,80.0,20.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,116784,107040,126679,659953,586931,748240,79938,72869,86835,2981458,1894311,4542623,18565051,11156516,29931859,2011684,1253743,3079640,75580763,37145831,130595335,400629049,202202813,656474477,50182839,24528237,86396227,335461038,256816209,390730849,1101223001,938147506,1196849552,202925728,160215976,230594034,423761672,397782894,441045994,1208554324,1161452646,1241774969,239782664,228075125,247531222,438022471,424819510,448080406,1221895188,1189891079,1247114538,244107564,237393561,249313828,
0.5,0.2,0.1,20.0,70.0,20.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,60987,56152,67083,146305,134045,160019,59249,54562,65146,835353,614853,1183752,2781483,1849565,4328264,809792,595732,1148371,19723302,9845729,38567536,65811524,29591848,136065685,19115412,9524151,37402866,298215107,135974816,533075581,689996418,365875855,1036266495,288334934,131551489,514840569,866353705,672554406,999901622,1186265418,1059536053,1260667522,831143980,647113556,956488985,1026546285,970178361,1065108407,1242890159,1200903609,1275045749,979430185,927017559,1015271480,
0.5,0.4,0.1,40.0,70.0,20.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,68618,63844,74440,191289,176661,207226,63685,59305,69042,907741,655362,1248920,3209645,2103373,4763988,838297,603849,1154839,18576445,9039370,34511787,65492313,29358712,127721916,17144936,8323257,31903942,248078544,109624298,428991959,642795653,317235580,968589105,227530187,100732372,392366995,691463056,523322912,796683107,1148550872,990622626,1232187754,621361156,474253794,711205359,815508311,763117622,847676680,1219139971,1168384678,1253576001,722739206,679123967,749495197,
0.5,0.6,0.1,60.0,70.0,20.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,76906,71556,83065,274452,249535,301292,65530,61096,70746,1134918,768856,1626037,4828267,2998757,7541940,957639,646096,1376919,23749347,10796352,45983278,98877516,41662583,198689044,20005237,9047785,38824861,257957323,120365673,410093771,754468369,403425053,1047073097,213187685,100157490,335486540,553007698,443209450,616921167,1153319664,1016211825,1227111488,437471582,356750503,482282008,620383512,583260795,644010586,1208108651,1155688218,1244185635,480111779,454367612,496712655,
0.5,0.8,0.1,80.0,70.0,20.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,87681,80762,94769,439774,400199,482095,59710,54902,64372,1131638,781874,1608898,6301690,4121950,9529522,752256,511131,1078170,19054722,9279123,35199398,103399733,47939121,196336177,12602135,6068508,23392923,169501413,86438075,261934271,691106436,387694797,960151181,107655693,55786901,163378169,356353023,284456812,402970305,1087911253,942337564,1174102436,208473746,171674430,230811407,409130063,379472008,428819065,1157627504,1097285124,1200700266,230046191,215861082,239577764,
0.5,0.2,0.1,20.0,60.0,20.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,51640,47376,56755,104368,96853,112843,50161,46032,55108,364067,289603,478289,1021569,730405,1503701,352522,280298,463464,4771588,2626552,8710243,14014564,6911160,28158043,4618321,2539366,8437083,62954712,24928579,140714813,172067813,64650801,383020605,60903861,24073236,136021820,422092803,194476481,708930018,785071022,423159250,1100842372,406913665,187835242,682030022,852369524,640151513,991854141,1130956939,967291393,1226617509,816374328,615193479,947391293,
0.5,0.4,0.1,40.0,60.0,20.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,56730,52390,61818,135970,126544,145878,52616,48642,57296,388620,302804,499977,1175888,837853,1631028,357695,278255,461203,4400623,2400761,7635974,13765127,6784762,25530062,4046084,2199511,7035569,49956804,19234593,105874451,148037576,54324286,316015135,45879691,17618440,97335502,317694102,132930541,535943338,695136487,334915853,1016646146,289306215,121477236,485747940,656421576,461822297,776058449,1072879813,861716075,1184810384,587916467,417285745,690370614,
0.5,0.6,0.1,60.0,60.0,20.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,61490,57235,66569,191207,177546,205931,52308,48723,56528,456316,340598,608686,1683461,1148312,2426160,382193,283318,511996,5234347,2647056,9541626,19732769,9130784,38345913,4375021,2197736,8006000,57005566,20790538,122053240,199132990,69727231,420786857,47467216,17234664,101580704,294110689,129199733,459542536,759965046,385928873,1048292495,239490803,106303629,369488321,515742998,379640084,594052990,1069927936,874073305,1174038288,406204604,304583058,462332927,
0.5,0.8,0.1,80.0,60.0,20.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,68292,63250,73886,305515,283090,328023,46351,42908,50092,437336,335787,571989,2133793,1525415,2971502,285910,216313,376980,3943347,2152016,6854066,19469532,9949118,35747346,2561800,1378485,4487229,34048864,13938550,69391286,159242643,62490306,323203058,21951277,8926598,44870536,164329214,73963727,265657047,618975387,305669688,908542136,101949355,46723056,161383319,312179652,216922631,375571955,960330631,736456289,1092970519,182355728,131056218,214386011,
0.5,0.2,0.1,20.0,50.0,20.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,44941,41005,49564,77531,72078,84592,43653,39843,48128,164978,142014,198983,373697,291927,502552,159582,137304,192592,1084910,684979,1804325,2661902,1492562,4913617,1048159,661356,1745091,8261992,3632333,17939185,20510511,8048870,48206045,7980693,3505612,17343049,60294202,19540271,150158512,140723144,42502259,357946511,58213232,18855122,145037769,289015706,95983762,591332807,534118225,195733755,947507730,278368499,92568154,568648492,
0.5,0.4,0.1,40.0,50.0,20.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,48309,44271,53014,100752,94039,108747,44790,41090,49127,173497,148859,205615,434667,341969,555435,159193,136521,188957,989868,619552,1543656,2623114,1495923,4417058,905442,565230,1415376,6377839,2834860,12840893,17052563,6837189,36394466,5830856,2582930,11765984,40133550,13000779,95435816,103504267,31541072,249754175,36656912,11825345,87280443,186906928,56542256,396702246,410682566,132136751,787208784,169864506,51427498,359415774,
0.5,0.6,0.1,60.0,50.0,20.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,50895,46912,55382,139545,130525,150157,43258,39957,47003,191721,159120,233486,597146,460616,776458,159445,131922,194809,1086010,644390,1773273,3517749,1911024,6146205,897658,529546,1472453,6825503,2817127,14443193,22206469,8341981,49682780,5635445,2307151,11976265,40803274,12183835,98528649,126880719,35817147,307222999,33593587,9968041,81158415,168256220,49421716,340610623,446595744,140667084,818669458,136787925,40347108,274525927,
0.5,0.8,0.1,80.0,50.0,20.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,55445,51504,60045,224613,210102,241879,37588,34951,40599,182194,155189,217970,767121,618126,964243,117449,99385,141334,799870,519331,1238043,3419716,2064444,5586819,506926,323570,793013,3831474,1826000,7464428,16418377,7230881,33398149,2418453,1129346,4757543,18019795,6369700,40898361,75554878,25092185,175058709,11326161,3955963,25863817,69077050,21454370,150755247,266010359,83922778,554089463,42729046,13286737,92425116,
0.5,0.2,0.1,20.0,30.0,20.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,36840,33484,40634,50435,46129,55483,35791,32544,39460,51412,48046,55650,72767,67996,78305,49748,46504,53824,78406,70303,90383,114339,97832,143511,75617,67816,87148,129185,99820,184370,193124,138445,301120,124289,96061,177417,226507,142176,409788,345321,197200,682328,217583,136544,393851,416731,204514,947422,645284,280797,1591450,399959,196173,910011,
0.5,0.4,0.1,40.0,30.0,20.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,38283,34770,42402,65304,59650,71771,35503,32275,39277,53033,49744,57110,90871,85302,96956,48674,45688,52348,76291,70080,84856,131279,116965,151818,69459,63818,77283,113333,92221,145107,195903,151180,264265,102572,83473,131276,173045,119325,263216,300519,194868,484736,155967,107605,237332,270468,153435,492325,471909,248883,911363,243105,137919,443100,
0.5,0.6,0.1,60.0,30.0,20.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,38796,35451,42724,89181,81781,97628,32999,30230,36253,53885,50557,57906,122028,114666,130351,44851,42140,48089,76004,68957,85002,170338,150993,196488,62243,56552,69530,108825,88363,139813,242315,190627,325994,88066,71634,112724,158162,110205,241553,350958,232518,563700,126909,88610,193152,233294,134553,426652,517067,283180,992733,186097,107523,339525,
0.5,0.8,0.1,80.0,30.0,20.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,41383,38121,45134,147856,137335,160143,28160,26064,30604,54996,51491,59150,187162,176055,200169,35825,33655,38418,70352,65287,75865,231611,214359,252256,44482,41408,47842,87816,77932,102376,282300,247754,333880,54337,48481,63041,107849,88722,138591,340612,277001,445064,65653,54442,83834,131035,98112,189474,408296,302961,598043,78762,59659,112934,
0.5,0.2,0.1,20.0,100,30.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,114483,103218,125808,434157,376532,510557,109779,98887,120705,8935314,5488273,14571981,41174678,22994903,73346701,8531742,5223113,13925037,420573150,248948586,623520905,1004767133,728594315,1211520372,399678726,237160622,591719206,1046484735,977605127,1093067224,1294503485,1271448357,1309858179,979765702,917922197,1021291082,1116128035,1102083413,1126715231,1302761157,1291033676,1312442743,1039148758,1026682814,1048582523,1120539120,1110775456,1128685289,1303293534,1292256447,1312597963,1042449823,1033425945,1050005666,
0.5,0.4,0.1,40.0,100,30.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,137754,126909,149403,555939,479633,649494,123776,114058,134169,9797092,5902914,15557406,45259919,24855288,76872791,8725112,5245604,13882035,386223368,224419385,554806525,979500648,685959056,1180888376,339460911,198045524,485258240,877868602,818217238,913692753,1279987314,1249092774,1298803115,742167512,696696273,768653202,926376200,912117201,936443593,1291033521,1275768539,1302605061,773301528,762397059,781097853,929868741,919430965,937959558,1291864545,1277788978,1302883714,775019094,766437343,781697482,
0.5,0.6,0.1,60.0,100,30.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,174380,156527,194292,827417,691301,992056,138954,124682,154767,14023475,7820116,23531040,71822918,36752316,126904516,11005410,6102113,18537874,406727037,256803021,539701676,1064344716,809601230,1216637230,307386000,196093766,401951149,713853910,674804327,737353144,1272211307,1240606690,1292382685,501631979,479772051,514282606,741232017,728262624,750524936,1281703060,1262886559,1295789093,512228770,504106374,518149792,743649297,733169370,751623554,1282519353,1264843005,1296067644,512966651,505836738,518413274,
0.5,0.8,0.1,80.0,100,30.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,232919,205454,263839,1353699,1135771,1630460,137592,120560,156394,16774406,9517318,27631837,99248773,53359668,170237554,9619176,5369081,15946556,331680277,230890809,416398822,1055972764,847436302,1185215783,174247956,124399292,212709495,527225955,498370238,546486581,1241888345,1205690713,1267277564,245971232,236226496,252368608,549662745,537667666,558772414,1254062312,1230711158,1272453202,250606523,245722380,254401940,552084376,542242295,559971183,1255295376,1233448592,1272939515,251037339,246641889,254579440,
0.5,0.2,0.1,20.0,90.0,30.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,90767,82975,99120,296230,261795,338845,87076,79537,95099,4084753,2640469,6477240,17098208,10003723,29438831,3896578,2517825,6182893,196652994,98414984,352806199,602010998,323460134,941804260,187194741,93364495,335637490,928972748,781119323,1035787252,1257004563,1192176906,1295619825,873044001,736916520,970433947,1096509680,1068260027,1116374564,1289343899,1270472198,1304490383,1021846284,996718315,1039541942,1109664346,1095025944,1121984101,1291403689,1275505134,1305095098,1032458056,1019000909,1043799297,
0.5,0.4,0.1,40.0,90.0,30.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,106810,98937,115250,377387,335722,429856,96023,89050,103467,4390018,2782317,6687382,18514837,10681566,30441069,3899322,2465320,5953155,178820348,86359844,308475044,570814930,293395861,880687063,157928835,76282279,272028179,779387490,645077891,864680204,1229994072,1142746955,1276411812,665635244,556358860,732866672,906568343,878399201,924824293,1271987093,1247330985,1289826729,758460688,737210616,772291248,917223934,901823164,929060005,1275117492,1255268350,1290815976,764690342,752197016,774371781,
0.5,0.6,0.1,60.0,90.0,30.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,130195,119134,142089,548175,470720,639416,103794,94972,113360,5960645,3521570,9653964,28180420,15195223,48504138,4652619,2723970,7560460,211302133,103766931,346508816,698861878,381184821,1000829084,162074844,79924169,263492413,652523593,561155965,706842540,1225177797,1145950762,1268865902,466273783,408702022,498468635,724428755,701362240,739900470,1259195470,1230307053,1280156556,502074404,488278655,511519352,731431412,716460572,742795022,1262181114,1237706499,1281117745,504716978,494689622,512397993,
0.5,0.8,0.1,80.0,90.0,30.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,166786,149925,184167,874225,755948,1017997,98561,88697,108827,6670724,4012437,10709938,36783205,20605260,61871578,3782786,2223810,6112053,177115560,95537001,274156205,697475189,412839428,960156460,96388519,52125849,146328501,474884859,411654370,515968557,1178671192,1094385867,1230487844,227799171,203591949,242517689,531291528,510929284,546019561,1220657639,1185207868,1247440066,243410510,235506274,249191681,538347906,524529912,549296238,1225201825,1195595246,1249147497,244955810,238927163,249798109,
0.5,0.2,0.1,20.0,80.0,30.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,73339,67587,80355,203299,183444,227114,70403,64866,77120,1817171,1247736,2736176,6765789,4235945,11121975,1731574,1188522,2609573,66527432,31249079,131933967,226742107,101417693,446250974,63336843,29745749,125660746,661420021,427303108,878348565,1110853195,890980561,1244882750,624671019,404985217,826846393,1042895277,967480233,1091212739,1261564295,1222068750,1289633235,974109169,905588380,1017367682,1089737038,1063877519,1110089833,1271610544,1247595978,1292316806,1014320019,990784476,1032904541,
0.5,0.4,0.1,40.0,80.0,30.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,84329,78480,90825,258105,235076,285686,75897,70675,81646,1914633,1290178,2780968,7224994,4417665,11324596,1695346,1140455,2468027,58734014,26711742,111395966,205523330,89546418,390645274,51889460,23552794,98524722,543497443,331467316,722556996,1047606620,778011461,1204937345,470529529,289390189,620565872,854950268,779283745,899038530,1232811090,1178113707,1266668117,719571561,660628342,753148966,894930082,868281415,913990460,1247802752,1217610815,1271096158,746849962,725779689,762123416,
0.5,0.6,0.1,60.0,80.0,30.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,98997,91634,106972,366545,325851,414383,79064,73232,85315,2453189,1551384,3770654,10458026,6010056,17228509,1902230,1186210,2934818,72395791,31234348,139777603,275818742,116778351,518913120,55780853,23979886,107516135,491771642,317995972,619644856,1069530813,822545745,1204965798,360974088,237985860,446958198,685557027,629416896,718717678,1215900681,1157565711,1253063213,479285807,445528983,498959126,710785984,686512929,728294535,1229703552,1193522712,1257195611,491137901,475464742,502658302,
0.5,0.8,0.1,80.0,80.0,30.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,122036,111788,132416,574604,512911,647233,72375,66106,78434,2572691,1658545,3902856,12860598,7732876,20737236,1438415,904972,2202660,58653873,27435876,108525450,264116226,120828419,475638029,32314691,14869297,59444845,344480817,227164030,435905474,985794666,745934595,1134523400,173770457,118758499,213485367,490426347,442656973,521099834,1156964686,1085590103,1204759860,228260995,210124670,239714681,515433261,492869892,532221373,1177998901,1134043145,1212274155,235185652,225844529,242308712,
0.5,0.2,0.1,20.0,70.0,30.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,60634,55807,66720,141660,129804,154929,58257,53636,64078,793533,584832,1122618,2565679,1704653,4021135,755297,556418,1069440,18043137,8994773,35359740,58701280,26526602,122503479,17159560,8550727,33658781,276494651,121894434,510222197,641056377,325831010,1000767738,262157307,115656541,483259238,859483170,649320622,1010548536,1168724413,1024143825,1253089571,806776073,611218766,945293932,1040732426,975080803,1085159088,1233673467,1186910288,1269253731,970145437,910719777,1010275872,
0.5,0.4,0.1,40.0,70.0,30.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,68126,63337,74002,179610,166041,194301,61420,57156,66641,821197,594869,1127723,2713435,1778123,4024975,724727,523985,996657,15433838,7495844,28809864,51191406,22725752,100900390,13593083,6565957,25432339,209956604,86097119,386667719,539022484,240686477,879491147,183635843,75421640,337237134,678249362,470926110,815722620,1100794924,895853337,1209612820,578734572,406230703,689923176,841655911,769807954,884169171,1194746626,1131090905,1236425325,705326598,648995240,738575361,
0.5,0.6,0.1,60.0,70.0,30.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,77149,71787,83349,250150,228718,273319,61819,57625,66667,991346,678389,1417044,3732118,2321712,5828599,763107,519480,1095036,18203266,8188923,35735145,67911022,27951467,139952315,13955631,6233345,27492162,212142652,86128524,376400171,598052350,268352882,935208486,159665285,65148547,280354180,559876135,397944802,659261665,1085495494,882429627,1192355317,400795298,291510063,464333129,665620361,606457159,701308924,1168894161,1097206256,1216255225,462818873,426043691,485202669,
0.5,0.8,0.1,80.0,70.0,30.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,91936,84691,99495,389586,356411,425058,54933,50679,59285,986455,692175,1391672,4383594,2884600,6602578,543230,374534,773252,13679587,6671706,25793156,60010517,27062891,117293939,7458087,3549776,14093459,131209999,56022100,234428348,472355494,214457155,774346296,69378942,29893137,122391432,366886948,245787334,452281208,964550207,732069014,1104845059,178806433,124543375,214229941,464042895,407421263,499959414,1086850483,992660042,1149342920,214706747,191922259,228952050,
0.5,0.2,0.1,20.0,60.0,30.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,51450,47221,56628,101482,94261,109772,49483,45420,54402,346700,276581,454765,942176,674750,1391373,329704,262890,432918,4346834,2395231,8034592,12390622,6072926,24942517,4126533,2270624,7614579,55759170,21943503,126582989,149525553,54642367,339842564,52898080,20809408,120144897,389506139,168081368,684746627,728580006,365221959,1072613446,367922315,159152180,645149197,839684398,601568503,1001545326,1106136855,915333452,1215873588,786638252,565932713,935015079,
0.5,0.4,0.1,40.0,60.0,30.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,56544,52120,61769,128796,119960,138065,51095,47180,55690,353837,276985,452660,996230,712739,1377212,311408,243494,399200,3631499,1979850,6299438,10588563,5199685,19692335,3181998,1728527,5535311,38420315,14625713,83168033,107975143,38434571,239052517,33617067,12756255,72900475,261496987,96916058,485641506,570318029,235885099,927149443,226766277,84273540,419055670,626240327,386220273,787320231,1002453403,726367654,1151415781,532456728,332137094,663329224,
0.5,0.6,0.1,60.0,60.0,30.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,61974,57564,67207,176735,164455,190179,49902,46476,53973,402978,304911,533138,1309397,902362,1879767,308247,232197,409651,3963964,2008723,7237869,13166381,6073090,25751434,3007118,1511205,5518090,39114704,13661165,88029797,124191598,40486344,283054989,29566453,10249760,66592131,231055592,81693129,420760395,576197842,226623651,927308720,171103951,60955571,307712392,497587349,299254796,623538798,965373796,673285161,1122039399,354893511,218611562,437328548,
0.5,0.8,0.1,80.0,60.0,30.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,71798,66482,77802,276660,257049,296930,43392,40275,46812,389504,302509,504004,1516189,1104896,2087229,212120,164180,275787,2809260,1556472,4881809,10971557,5631220,20143553,1497860,816380,2617411,20565011,8089099,43829947,78326496,29162050,171243309,10892517,4235513,23387509,110806355,39131843,220122055,367370409,136859103,678876577,57199800,20195435,111960625,281766528,143010426,398091944,759020793,435275992,982862520,137672991,71774386,188743953,
0.5,0.2,0.1,20.0,50.0,30.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,44868,40930,49497,75795,70431,82690,43202,39433,47621,158112,136385,190502,346024,271334,463850,150377,129765,181235,988389,622716,1650094,2344468,1315880,4425063,936296,589604,1562262,7200458,3152340,15651087,17320763,6708133,40922235,6816617,2979482,14833786,51139222,16152258,130396133,116965172,33899837,307680270,48383878,15272079,123174752,252619588,76996686,553722293,467689663,154733056,905015010,238331071,72751463,520666342,
0.5,0.4,0.1,40.0,50.0,30.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,48334,44212,53055,96484,90014,104274,43796,40141,47996,160270,138431,188677,372841,296008,473611,141018,121788,166129,820551,517814,1274433,2012239,1152994,3381939,714741,449681,1113002,4776943,2123121,9644297,11849949,4731631,25422442,4152961,1837891,8409408,27861823,8858406,67968912,67676062,19756300,170618423,24197743,7659803,59158886,133189699,35772302,317477025,287436088,78296593,637679859,115137619,30899139,273808594,
0.5,0.6,0.1,60.0,50.0,30.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,51522,47351,56177,131197,122597,141440,41741,38508,45359,173224,145224,208670,475638,373881,614120,132381,110994,159686,831879,500663,1345473,2350938,1292231,4105765,623301,373239,1012941,4460094,1852579,9473572,12695265,4759467,28693770,3328377,1369616,7109687,23840145,6833830,60740708,66446890,17502767,175405146,17749606,5038019,45325966,103965690,24623343,254203238,261296413,62192506,600569903,76670298,18116278,186480200,
0.5,0.8,0.1,80.0,50.0,30.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,58384,54124,63388,208481,195281,224454,35802,33338,38661,168365,145130,198482,574738,477457,708527,92067,79640,108505,591833,394283,896421,1990989,1246629,3189307,308946,205072,471730,2245819,1097693,4323549,7534742,3410330,15224843,1156577,558375,2250385,8666456,3076704,20231133,28878066,9524059,70292291,4442702,1530928,10447906,31381083,8569925,81278481,100942431,26208299,262632042,15962294,4297362,41382100,
0.5,0.2,0.1,20.0,30.0,30.0,28854,26843,30940,38713,35328,42358,28239,26264,30290,36907,33526,40722,49895,45625,54878,35617,32387,39257,50601,47171,54813,69956,65468,75292,48434,45189,52430,74547,67147,85634,105248,91059,131328,70865,63893,81284,117142,91974,164561,168526,122676,262611,110773,87113,155460,194418,125211,348765,284307,166282,560949,183186,118166,328461,337573,170546,753645,500735,227189,1222911,317355,160532,708599,
0.5,0.4,0.1,40.0,30.0,30.0,29210,27136,31579,49755,45387,54843,27615,25633,29880,38547,34959,42737,64005,58428,70429,35133,31949,38864,51704,48395,55842,84639,79629,90460,46208,43310,49830,69989,64854,76755,113406,103079,128061,61619,57199,67435,95689,80985,118505,154023,125336,199844,83287,70727,102830,132275,96895,191826,212116,148569,324429,114146,84052,164997,185035,114974,317595,296277,174384,535873,158664,99188,271651,
0.5,0.6,0.1,60.0,30.0,30.0,28930,26895,31198,67850,62144,74435,25596,23756,27651,39535,36006,43662,86787,79547,94977,32475,29727,35686,52670,49273,56750,110917,104554,118432,41637,39057,44725,68559,63194,75210,140221,127797,156891,52739,48825,57507,88034,75027,107130,176305,147673,220465,66357,57010,80092,112238,86397,158243,221361,167322,321795,83297,64855,116248,142742,96010,234479,278408,182956,472416,104665,71648,170236,
0.5,0.8,0.1,80.0,30.0,30.0,29652,27783,31673,115182,106540,124803,22011,20559,23606,43557,39942,47700,143445,133119,155512,27589,25516,29971,55731,51950,60142,169738,159959,181846,33011,30965,35428,66271,61874,70791,192565,180709,204610,37713,35446,40135,75475,69122,83366,212561,195926,234143,41824,38772,45497,83585,74536,98098,230240,207252,267702,45452,41090,52220,90800,77840,113674,246020,214133,304488,48683,42704,59212,
